Header,VarLen,Speed,Start angle,MP1 distance,MP1 intensity,MP2 distance,MP2 intensity,MP3 distance,MP3 intensity,MP4 distance,MP4 intensity,MP5 distance,MP5 intensity,MP6 distance,MP6 intensity,MP7 distance,MP7 intensity,MP8 distance,MP8 intensity,MP9 distance,MP9 intensity,MP10 distance,MP10 intensity,MP11 distance,MP11 intensity,MP12 distance,MP12 intensity,End angle,Timestamps,Crc check,,Converted angles
84,44,3591,26175,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,26943,10559,42,,261.75
84,44,3591,27204,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,27967,10559,63,,272.04
84,44,3591,27967,63,63,63,63,63,63,307,63,328,63,338,63,319,63,319,63,319,63,319,63,319,63,3135,63,29013,10559,13,,279.67
84,44,3591,28991,3194,63,3194,63,3179,63,3179,63,3163,63,3179,63,3163,63,3163,63,3163,63,3163,63,3163,63,3163,63,29993,10559,63,,289.91
84,44,3591,30072,3163,63,3163,63,3163,63,3163,63,3179,63,3179,63,3179,63,3194,63,3194,63,3179,63,2931,63,2853,63,30783,10559,105,,300.72
84,44,3591,31040,575,63,575,63,575,63,575,63,575,63,575,63,635,63,575,63,575,63,575,63,575,63,635,63,31807,10559,110,,310.4
84,44,3591,31807,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16217,10559,99,,318.07
84,44,3593,16191,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16128,10559,63,,161.91
84,44,3593,16208,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,575,63,16191,10559,63,,162.08
84,44,3593,16136,575,63,575,63,635,63,604,63,589,63,635,63,63,63,63,63,63,63,259,63,262,63,271,63,16207,10559,63,,161.36
84,44,3593,16191,275,63,277,63,285,63,296,63,301,63,304,63,312,63,323,63,329,63,339,63,344,63,361,63,598,10559,84,,161.91
84,44,3593,575,369,63,380,63,319,63,319,63,319,63,319,63,319,63,542,63,558,63,558,63,589,63,589,63,1547,10559,61,,5.75
84,44,3593,2367,319,63,319,63,319,63,319,63,319,63,378,63,371,63,353,63,344,63,332,63,340,63,344,63,3417,10559,63,,23.67
84,44,3593,3391,346,63,347,63,341,63,331,63,333,63,341,63,338,63,336,63,335,63,342,63,63,63,63,63,4353,10559,6,,33.91
84,44,3593,4432,63,63,63,63,63,63,63,63,63,63,63,63,122,63,125,63,126,63,63,63,63,63,63,63,5183,10559,112,,44.32
84,44,3593,5397,63,63,63,63,63,63,63,63,112,63,100,63,84,63,96,63,82,63,75,63,71,63,69,63,6266,10559,63,,53.97
84,44,3593,6207,78,63,73,63,70,63,69,63,68,63,68,63,88,63,98,63,113,63,120,63,124,63,126,63,7188,10559,46,,62.07
84,44,3593,7263,127,63,127,63,127,63,127,63,127,63,117,63,112,63,110,63,109,63,108,63,63,63,63,63,8192,10559,80,,72.63
84,44,3593,8278,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,9023,10559,63,,82.78
84,44,3593,9223,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,10101,10559,35,,92.23
84,44,3593,10047,63,63,63,63,63,63,63,63,63,63,63,63,63,63,110,63,99,63,93,63,90,63,79,63,11046,10559,112,,100.47
84,44,3593,11071,83,63,85,63,96,63,102,63,95,63,91,63,89,63,88,63,88,63,88,63,78,63,73,63,11839,10752,63,,110.71
84,44,3593,12083,70,63,59,63,53,63,50,63,49,63,48,63,48,63,38,63,23,63,15,63,11,63,9,63,12863,10755,63,,120.83
84,44,3593,12863,8,63,18,63,23,63,25,63,26,63,17,63,12,63,20,63,24,63,26,63,37,63,42,63,13928,10757,65,,128.63
84,44,3593,13887,45,63,36,63,42,63,45,63,56,63,62,63,65,63,76,63,82,63,85,63,96,63,102,63,14871,10760,80,,138.87
84,44,3593,14954,105,63,106,63,107,63,117,63,122,63,63,63,63,63,119,63,113,63,110,63,109,63,98,63,15679,10763,63,,149.54
84,44,3593,15904,73,63,70,63,59,63,53,63,50,63,49,63,58,63,53,63,50,63,59,63,63,63,65,63,16703,10765,63,,159.04
84,44,3593,16703,66,63,77,63,92,63,100,63,104,63,126,63,63,63,63,63,63,63,63,63,63,63,63,63,17752,10768,63,,167.03
84,44,3593,17727,63,63,127,63,107,63,107,63,97,63,92,63,100,63,104,63,126,63,63,63,63,63,63,63,18703,10771,63,,177.27
84,44,3593,18785,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,19519,10773,119,,187.85
84,44,3593,19734,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,20591,10776,9,,197.34
84,44,3593,20543,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,21539,10778,26,,205.43
84,44,3593,21598,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,109,294,63,273,63,22335,10781,63,,215.98
84,44,3593,22540,297,63,309,63,315,63,318,63,319,63,327,63,345,63,347,63,348,63,334,63,320,63,313,63,23389,10784,63,,225.4
